year,state_abbr,state_name,population,violent_crime,property_crime,Violent_Crime_rate,Property_Crime_rate
1980,TN,Tennessee,4545590,20824,183632,458.1143482,4039.783614
1980,TX,Texas,14169829,77978,792480,550.310099,5592.728042
1980,UT,Utah,1458729,4425,81357,303.3462693,5577.252526
1980,VA,Virginia,5323412,16355,229587,307.2277705,4312.779097
1980,VT,Vermont,511299,914,24592,178.7603731,4809.71017
1980,WA,Washington,4113331,19098,265338,464.2952391,6450.684372
1980,WI,Wisconsin,4680917,8546,216073,182.5710646,4616.039977
1980,WV,West Virginia,1930787,3547,45719,183.7074727,2367.894542
1980,WY,Wyoming,468954,1841,21543,392.5758177,4593.840761
1981,US,United States,229465714,1361820,12061900,593.4742826,5256.515141
1981,AK,Alaska,412000,2537,24634,615.776699,5979.126214
1981,AL,Alabama,3916000,18423,173411,470.4545455,4428.268641
1981,AR,Arkansas,2294000,7119,79972,310.331299,3486.137751
1981,AZ,Arizona,2793000,16082,196575,575.7966344,7038.131042
1981,CA,California,24159000,208485,1625302,862.9703216,6727.521835
1981,CO,Colorado,2963000,15755,202119,531.7246034,6821.430982
1981,CT,Connecticut,3132000,14033,168790,448.0523627,5389.208174
1981,DC,District of Columbia,636000,14468,53442,2274.842767,8402.830189
1981,DE,Delaware,598000,3044,36958,509.0301003,6180.267559
1981,FL,Florida,10166000,98109,718470,965.0698406,7067.381468
1981,GA,Georgia,5569000,30527,282926,548.1594541,5080.373496
1981,HI,Hawaii,979000,2424,61636,247.5995914,6295.812053
1981,IA,Iowa,2897000,5915,130723,204.1767346,4512.357611
1981,ID,Idaho,959000,2717,40733,283.3159541,4247.445255
1981,IL,Illinois,11455000,90781,609767,792.5010912,5323.151462
1981,IN,Indiana,5466000,18672,229472,341.6026345,4198.170509
1981,KS,Kansas,2381000,8796,119880,369.4246115,5034.859303
1981,KY,Kentucky,3661000,10599,118690,289.5110626,3242.01038
1981,LA,Louisiana,4305000,27478,199295,638.2810685,4629.384437
1981,MA,Massachusetts,5770000,36273,300428,628.6481802,5206.724437
1981,MD,Maryland,4261000,37800,241625,887.1157005,5670.617226
1981,ME,Maine,1132000,2214,45820,195.5830389,4047.70318
1981,MI,Michigan,9201000,59058,571582,641.8650147,6212.17259
1981,MN,Minnesota,4090000,9344,184387,228.4596577,4508.239609
1981,MO,Missouri,4938000,26675,237575,540.1984609,4811.158364
